PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
36070,36070,1.0,1.0,1977,Other,66597.0,98134.0,SOUTHEAST,47.58476,-122.29765,67.0,2.402430427963762,14.181310207367847,39,36070.0,36070.0,Other,10.493244497383538,11.10642982604754,10.493244497383538
20047,20047,2.0,1.0,1963,Other,20047.0,98144.0,SOUTHEAST,47.56979,-122.29234,67.0,0.598836501088704,11.673677721219418,53,10023.5,20047.0,Other,9.90588467713585,9.90588467713585,9.212787375619234
20000,20000,1.0,1.0,1914,Retail Store,20000.0,98134.0,GREATER DUWAMISH,47.57403,-122.3336,75.0,1.5871923034867808,13.231871716436942,102,20000.0,20000.0,Retail Store,9.90353755128617,9.90353755128617,9.90353755128617
32400,32400,2.0,1.0,1955,Warehouse,32700.0,98134.0,GREATER DUWAMISH,47.5741,-122.32541,91.0,1.0043016091968684,12.42366883866523,61,16200.0,32400.0,Warehouse,10.385944565501662,10.39516093745751,9.692828247710418
26680,26680,1.0,1.0,1955,Distribution Center,33987.0,98134.0,GREATER DUWAMISH,47.56489,-122.3409,92.0,0.9932517730102832,12.402951081228949,61,26680.0,26680.0,Distribution Center,10.191706980586526,10.433762800123432,10.191706980586526
31521,31521,1.0,1.0,1953,Warehouse,31521.0,98106.0,DELRIDGE,47.56447,-122.35335,6.0,4.138520924554929,14.3966915645769,63,31521.0,31521.0,Warehouse,10.358440993735487,10.358440993735487,10.358440993735487
21900,21900,1.0,1.0,1952,Self-Storage Facility,21900.0,98134.0,GREATER DUWAMISH,47.56487,-122.34181,67.0,4.199455046624718,14.103421572956712,64,21900.0,21900.0,Self-Storage Facility,9.994287576862567,9.994287576862567,9.994287576862567
35579,35579,1.0,1.0,1998,Distribution Center,35579.0,98134.0,GREATER DUWAMISH,47.5678,-122.33622,72.0,3.690128673514368,13.907768128749533,18,35579.0,35579.0,Distribution Center,10.479538961219825,10.479538961219825,10.479538961219825
49950,49950,1.0,1.0,1975,Distribution Center,49950.0,98134.0,GREATER DUWAMISH,47.57382,-122.32672,77.0,0.9820784724121582,12.384096242228416,41,49950.0,49950.0,Distribution Center,10.818797803896322,10.818797803896322,10.818797803896322
22612,22612,2.0,1.0,1947,Worship Facility,22612.0,98199.0,MAGNOLIA / QUEEN ANNE,47.63927,-122.4032,87.0,3.484312288372662,13.50261024522075,69,11306.0,22612.0,Worship Facility,10.026280241122993,10.026280241122993,9.333177281935246
50368,50368,2.0,2.0,1988,Self-Storage Facility,50369.0,98125.0,NORTH,47.72356,-122.29378,67.0,3.387098457282653,13.532187222402165,28,25184.0,25184.0,Self-Storage Facility,10.827131185455466,10.827151038739697,10.134003858179751
32691,32691,3.0,1.0,1922,K-12 School,33550.0,98112.0,MAGNOLIA / QUEEN ANNE,47.63111,-122.35814,99.0,3.42816382989197,13.787102145645433,94,10897.0,32691.0,K-12 School,10.39488567863602,10.420821948214945,9.296334565143043
24227,24227,2.0,1.0,1963,Worship Facility,26210.0,98119.0,MAGNOLIA / QUEEN ANNE,47.63159,-122.35839,55.0,3.883417748417812,13.898636929332987,53,12113.5,24227.0,Worship Facility,10.095264268100838,10.173934448966204,9.402158361247483
27000,27000,1.0,1.0,1956,Distribution Center,27000.0,98108.0,GREATER DUWAMISH,47.54365,-122.30785,61.0,2.9882040071331994,13.386716911961434,60,27000.0,27000.0,Distribution Center,10.203629181337648,10.203629181337648,10.203629181337648
21118,21118,3.0,1.0,1988,Residence Hall,21118.0,98103.0,LAKE UNION,47.65014,-122.34424,49.0,3.701301974112493,14.124045257739803,28,7039.333333333333,21118.0,Residence Hall,9.957928388214375,9.957928388214375,8.859410796516032
20500,20500,2.0,1.0,1900,Small- and Mid-Sized Office,20500.0,98103.0,LAKE UNION,47.64866,-122.34509,48.0,2.50715725872282,14.097812527331554,116,10250.0,20500.0,Small- and Mid-Sized Office,9.928228944424575,9.928228944424575,9.235130540783402
25521,25521,2.0,1.0,1930,Worship Facility,25521.0,98115.0,NORTHEAST,47.67485,-122.29284,82.0,2.8015405441895487,13.313293296532503,86,12760.5,25521.0,Worship Facility,10.147296104293922,10.147296104293922,9.454188104848685
23190,23190,1.0,1.0,1986,K-12 School,23190.0,98115.0,NORTHEAST,47.67485,-122.29284,79.0,4.236133434493478,14.3493784087931,30,23190.0,23190.0,K-12 School,10.05151955135521,10.05151955135521,10.05151955135521
20678,20678,1.0,1.0,1960,Small- and Mid-Sized Office,23100.0,98103.0,NORTHWEST,47.68602,-122.35674,98.0,3.515418525752178,13.554579466014255,56,20678.0,20678.0,Small- and Mid-Sized Office,9.936873971553762,10.047631185616188,9.936873971553762
28820,28820,3.0,1.0,1922,K-12 School,33780.0,98103.0,NORTHWEST,47.68642,-122.35707,43.0,4.67702562308852,14.769399341033749,94,9606.666666666666,28820.0,K-12 School,10.268859567077849,10.427653793239193,9.170316669846862
27876,27876,2.0,1.0,1954,Worship Facility,44816.0,98178.0,SOUTHEAST,47.51042,-122.26277,69.0,4.248066578757805,14.419816893623684,62,13938.0,27876.0,Worship Facility,10.235557255067516,10.710342810710427,9.542445945729886
22320,22320,1.0,1.0,1977,Warehouse,22320.0,98108.0,GREATER DUWAMISH,47.55374,-122.32498,62.0,1.4011829736136414,12.992407086595012,39,22320.0,22320.0,Warehouse,10.013283218359012,10.013283218359012,10.013283218359012
47105,47105,1.0,1.0,1976,Other,45320.0,98108.0,GREATER DUWAMISH,47.55297,-122.32472,67.0,5.855702096093982,16.141296615008592,40,47105.0,47105.0,Other,10.76015566042631,10.721525780211834,10.76015566042631
28304,28304,2.0,1.0,1970,Small- and Mid-Sized Office,27185.0,98108.0,GREATER DUWAMISH,47.55196,-122.32518,67.0,2.2874714551839976,14.054030090673445,46,14152.0,28304.0,Small- and Mid-Sized Office,10.25079374647076,10.210457413895194,9.55768189473384
25872,25872,2.0,1.0,1969,Small- and Mid-Sized Office,24988.0,98108.0,GREATER DUWAMISH,47.55127,-122.32576,41.0,4.418358563921272,14.690710300809062,47,12936.0,25872.0,Small- and Mid-Sized Office,10.160955232894292,10.126191007021934,9.467846701917901
20500,20500,1.0,1.0,1969,Warehouse,21386.0,98108.0,GREATER DUWAMISH,47.55127,-122.32576,65.0,0.9360933591703348,12.31313663155814,47,20500.0,20500.0,Warehouse,9.928228944424575,9.970538539785737,9.928228944424575
21436,21436,2.0,1.0,1958,Small- and Mid-Sized Office,21436.0,98103.0,LAKE UNION,47.6557,-122.34682,95.0,1.5539252025038417,13.18946988749649,58,10718.0,21436.0,Small- and Mid-Sized Office,9.972873680021136,9.972873680021136,9.27977314669152
46580,46580,6.0,1.0,1928,Self-Storage Facility,46580.0,98101.0,DOWNTOWN,47.61179,-122.3404,67.0,1.7833912195575383,13.47340943383864,88,7763.333333333333,46580.0,Self-Storage Facility,10.74894801164928,10.74894801164928,8.957295876563245
25920,25920,2.0,1.0,1916,Retail Store,25920.0,98101.0,DOWNTOWN,47.61165,-122.34011,5.0,1.4678743481123135,13.078810770235728,100,12960.0,25920.0,Retail Store,10.162808729968926,10.162808729968926,9.469700127423375
61721,61721,8.0,1.0,1910,Hotel,41227.0,98121.0,DOWNTOWN,47.61203,-122.34165,93.0,3.635478677386821,14.879214150025431,106,7715.125,61721.0,Hotel,11.030395710359086,10.626872916156684,8.95106757399808
25920,25920,2.0,1.0,1919,Small- and Mid-Sized Office,23995.0,98121.0,DOWNTOWN,47.61297,-122.34324,75.0,3.860308569741467,14.399876030032187,97,12960.0,25920.0,Small- and Mid-Sized Office,10.162808729968926,10.085642428772983,9.469700127423375
39760,39760,4.0,1.0,1925,Small- and Mid-Sized Office,39760.0,98101.0,EAST,47.61098,-122.32766,92.0,5.016683632630459,14.723350078743517,91,9940.0,39760.0,Small- and Mid-Sized Office,10.590641811359664,10.590641811359664,9.204422898212146
30971,30971,3.0,1.0,1920,Other,30971.0,98101.0,EAST,47.61109,-122.32721,67.0,4.562784469491653,14.853376238209218,96,10323.666666666666,30971.0,Other,10.340838849506614,10.340838849506614,9.24229113320801
22667,22667,3.0,1.0,1946,Small- and Mid-Sized Office,22667.0,98101.0,EAST,47.61063,-122.32741,1.0,5.007630785075957,15.141825589022217,70,7555.666666666667,22667.0,Small- and Mid-Sized Office,10.02870951728951,10.02870951728951,8.930185454833465
26532,26532,1.0,1.0,1984,Distribution Center,26532.0,98103.0,LAKE UNION,47.65214,-122.356,5.0,4.212571943586751,14.475217416672605,32,26532.0,26532.0,Distribution Center,10.186144520271382,10.186144520271382,10.186144520271382
30730,30730,1.0,1.0,1969,Other,30730.0,98103.0,LAKE UNION,47.65138,-122.35565,67.0,4.311067545733388,14.930801727560036,47,30730.0,30730.0,Other,10.333027196085467,10.333027196085467,10.333027196085467
23600,23600,2.0,1.0,1981,Small- and Mid-Sized Office,23600.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64805,-122.35534,82.0,1.8578592709325787,13.562229509653257,35,11800.0,23600.0,Small- and Mid-Sized Office,10.069044362997353,10.069044362997353,9.375939552625749
40067,40067,3.0,1.0,1986,Small- and Mid-Sized Office,40067.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,43.0,2.836736542063533,14.650041734224526,30,13355.666666666666,40067.0,Small- and Mid-Sized Office,10.598333289731654,10.598333289731654,9.499770914962081
26419,19497,3.0,1.0,1989,Small- and Mid-Sized Office,26419.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,67.0,2.138889000323256,13.887821917175051,27,8806.333333333334,26419.0,Small- and Mid-Sized Office,10.181876578076317,10.181876578076317,9.08333998677019
25262,25262,3.0,1.0,1979,Small- and Mid-Sized Office,25262.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,54.0,3.2128577525426376,14.200471722911768,37,8420.666666666666,25262.0,Small- and Mid-Sized Office,10.137096153698101,10.137096153698101,9.038563029057899
34106,34106,3.0,1.0,1980,Small- and Mid-Sized Office,32739.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64901,-122.35516,57.0,2.5087859235779435,14.297429248226122,36,11368.666666666666,34106.0,Small- and Mid-Sized Office,10.437257920797217,10.396352850925126,9.338704269398972
34545,34545,3.0,1.0,1980,Small- and Mid-Sized Office,34545.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64934,-122.35592,29.0,2.8408313123360287,14.654479435617088,36,11515.0,34545.0,Small- and Mid-Sized Office,10.45004704825323,10.45004704825323,9.351492651732066
70296,70296,3.0,1.0,1980,Small- and Mid-Sized Office,70296.0,98109.0,MAGNOLIA / QUEEN ANNE,47.64865,-122.35435,86.0,3.015044584586364,14.838704914291238,36,23432.0,70296.0,Small- and Mid-Sized Office,11.160484402634983,11.160484402634983,10.061900564278407
27838,27838,4.0,1.0,1902,Small- and Mid-Sized Office,27838.0,98104.0,DOWNTOWN,47.59979,-122.33339,77.0,2.2502386126218363,14.012318450126068,114,6959.5,27838.0,Small- and Mid-Sized Office,10.234193194263003,10.234193194263003,8.848006589828621
92080,92080,2.0,1.0,1964,Other,92129.0,98133.0,NORTHWEST,47.72471,-122.3412,67.0,4.852811208902689,15.45549542503319,52,46040.0,92080.0,Other,11.430423903458427,11.430955902102978,10.737287582843205
20236,20236,1.0,1.0,1961,Other,20236.0,98133.0,NORTHWEST,47.72288,-122.34065,67.0,3.923556241241819,14.49109605593479,55,20236.0,20236.0,Other,9.91526789107166,9.91526789107166,9.91526789107166
25557,25557,4.0,1.0,1970,Other,25557.0,98133.0,NORTHWEST,47.72299,-122.34293,67.0,2.827313621929028,14.639841032772216,46,6389.25,25557.0,Other,10.148705658168648,10.148705658168648,8.762528670236945
48112,48112,1.0,1.0,1972,Warehouse,48112.0,98133.0,NORTHWEST,47.72183,-122.34328,73.0,2.430098413293005,14.211562753284309,44,48112.0,48112.0,Warehouse,10.781307689847692,10.781307689847692,10.781307689847692
45000,45000,2.0,1.0,2007,Other,45000.0,98133.0,NORTHWEST,47.72644,-122.34338,67.0,5.18060307852848,15.592506074428233,9,22500.0,45000.0,Other,10.714439990727769,10.714439990727769,10.021315031649332
26115,26115,1.0,1.0,1998,Retail Store,26115.0,98133.0,NORTHWEST,47.72337,-122.34373,43.0,3.630720539940404,14.339868382102049,18,26115.0,26115.0,Retail Store,10.170303432306524,10.170303432306524,10.170303432306524
46539,46539,2.0,1.0,1970,Senior Care Community,46539.0,98109.0,MAGNOLIA / QUEEN ANNE,47.6441,-122.34795,73.0,5.200594278019421,15.501918863342626,46,23269.5,46539.0,Other,10.748067436856283,10.748067436856283,10.054941742958492
29796,29796,4.0,1.0,1909,Residence Hall,29796.0,98121.0,DOWNTOWN,47.61283,-122.34392,47.0,4.389250479763201,14.61897430265987,107,7449.0,29796.0,Residence Hall,10.302162996284876,10.302162996284876,8.915969311373605
34680,34680,4.0,1.0,1900,Retail Store,34680.0,98101.0,DOWNTOWN,47.60683,-122.33771,92.0,3.3098128198603027,13.972471463975856,116,8670.0,34680.0,Retail Store,10.453947265542192,10.453947265542192,9.06773940337716
75058,40548,3.0,1.0,1968,Worship Facility,75058.0,98101.0,DOWNTOWN,47.60867,-122.33265,24.0,5.517332407278467,15.536015313954518,48,25019.333333333332,75058.0,Worship Facility,11.226029749925072,11.226029749925072,10.12744410660735
36504,36504,1.0,1.0,1915,Retail Store,16200.0,98101.0,DOWNTOWN,47.61103,-122.33549,2.0,3.080073421987742,14.557916245385044,101,36504.0,36504.0,Retail Store,10.505204516490187,9.692828247710418,10.505204516490187
35200,35200,6.0,1.0,1907,Small- and Mid-Sized Office,35200.0,98101.0,DOWNTOWN,47.61091,-122.33667,8.0,3.086486636822455,14.913525751740035,109,5866.666666666667,35200.0,Small- and Mid-Sized Office,10.468829770273567,10.468829770273567,8.677212332377863
35840,35840,5.0,1.0,1907,Small- and Mid-Sized Office,35840.0,98101.0,DOWNTOWN,47.60961,-122.33566,83.0,3.8989377658794906,14.246482012532232,109,7168.0,35840.0,Small- and Mid-Sized Office,10.486847768485333,10.486847768485333,8.877521453852872
25920,25920,2.0,1.0,1941,Other,23230.0,98101.0,DOWNTOWN,47.60985,-122.33527,60.0,2.33214389523559,14.1032674713654,75,12960.0,25920.0,Other,10.162808729968926,10.053242872620965,9.469700127423375
49243,49243,4.0,1.0,1964,Other,52284.0,98101.0,EAST,47.61186,-122.32857,67.0,4.628300603376946,15.9527709064877,52,12310.75,49243.0,Other,10.804542811767506,10.864464802032689,9.418309369919445
20411,20411,3.0,1.0,1912,Other,20411.0,98104.0,EAST,47.6097,-122.325,67.0,4.279855472062756,14.515870104272397,104,6803.666666666667,20411.0,Other,9.923878242183862,9.923878242183862,8.825363930295334
30855,20570,2.0,1.0,1962,Medical Office,21571.0,98122.0,EAST,47.61065,-122.32125,2.0,4.4607222816222185,14.89621588642345,54,15427.5,30855.0,Medical Office,10.337086499888064,9.979151456457117,9.643971727410698
39115,39115,3.0,1.0,1963,Medical Office,50000.0,98114.0,EAST,47.60865416,-122.3205904,42.0,4.111529386976201,15.13334123790846,53,13038.333333333334,39115.0,Medical Office,10.574286869432166,10.819798284210286,9.475725709429353
36444,36444,1.0,1.0,1960,Warehouse,36444.0,98107.0,BALLARD,47.66388,-122.36831,80.0,0.7514160886839212,11.991096238364037,56,36444.0,36444.0,Warehouse,10.503559553816313,10.503559553816313,10.503559553816313
27553,27553,1.0,1.0,1950,Warehouse,27553.0,98107.0,BALLARD,47.65907,-122.36783,63.0,3.484618989801228,13.781620859666615,66,27553.0,27553.0,Warehouse,10.223902994604545,10.223902994604545,10.223902994604545
57310,57310,1.0,3.0,1951,Distribution Center,57310.0,98107.0,BALLARD,47.6583,-122.36638,67.0,3.579901291544191,14.04164682662926,65,57310.0,19103.333333333332,Distribution Center,10.956247856355338,10.956247856355338,10.956247856355338
40686,40686,3.0,1.0,1919,Restaurant,40686.0,98109.0,LAKE UNION,47.62354,-122.33808,67.0,4.30406509320417,14.560336346169082,97,13562.0,40686.0,Other,10.613663910088935,10.613663910088935,9.515100775962715
45271,45271,2.0,1.0,1964,Retail Store,45271.0,98109.0,LAKE UNION,47.62399,-122.33804,57.0,4.427477897577799,14.75307910302247,52,22635.5,45271.0,Retail Store,10.72044401882236,10.72044401882236,10.027318926726714
28380,16200,3.0,1.0,1920,Small- and Mid-Sized Office,28380.0,98109.0,LAKE UNION,47.62437,-122.33802,62.0,3.604682295313181,14.131936325062208,96,9460.0,28380.0,Small- and Mid-Sized Office,10.253475186175006,10.253475186175006,9.154933364704444
26176,26176,3.0,1.0,1926,Small- and Mid-Sized Office,23730.0,98109.0,LAKE UNION,47.62353,-122.33622,95.0,3.499231121933521,13.781859018136474,90,8725.333333333334,26176.0,Small- and Mid-Sized Office,10.172636441606745,10.074537489292018,9.074100552969233
26000,26000,1.0,1.0,1961,Other,49847.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,5.220842193268625,15.478959932219384,55,26000.0,26000.0,Other,10.165890277802454,10.816733654224057,10.165890277802454
23241,23241,3.0,1.0,2009,Worship Facility,23241.0,98109.0,MAGNOLIA / QUEEN ANNE,47.61876,-122.3534,66.0,3.074543453978281,13.513339356547904,7,7747.0,23241.0,Worship Facility,10.05371626578282,10.05371626578282,8.955190024526887
155795,155795,1.0,1.0,1962,Other,155795.0,98109.0,MAGNOLIA / QUEEN ANNE,47.61974,-122.3511,67.0,5.548414387422504,16.687549684257647,54,155795.0,155795.0,Other,11.956302738148255,11.956302738148255,11.956302738148255
21018,21018,1.0,1.0,2002,Other,21018.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,3.2433732964685884,14.381471032880883,14,21018.0,21018.0,Other,9.95318206955998,9.95318206955998,9.95318206955998
30533,30533,1.0,1.0,1998,Other,28631.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,67.0,5.263311757349221,15.590973964705348,18,30533.0,30533.0,Other,10.326596095816887,10.262280252445862,10.326596095816887
33971,33971,2.0,1.0,1961,Other,50000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62049,-122.3493,67.0,6.263303019960951,16.68830908494569,55,16985.5,33971.0,Other,10.4332919348999,10.819798284210286,9.740174189912846
40600,40600,2.0,1.0,1992,Other,33000.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62082,-122.35251,67.0,3.7390971702745537,14.725993255815451,24,20300.0,40600.0,Other,10.611547975828369,10.404293143019792,9.918425424900335
49680,49680,1.0,1.0,1966,Other,49680.0,98109.0,DOWNTOWN,47.60192,-122.33282,67.0,4.790321069792205,14.860963250382913,50,49680.0,49680.0,Other,10.813377845229255,10.813377845229255,10.813377845229255
36314,36314,1.0,1.0,1962,Other,36314.0,98109.0,DOWNTOWN,47.60219,-122.3313,67.0,3.813969064952758,14.42136072983665,54,36314.0,36314.0,Other,10.499986158040269,10.499986158040269,10.499986158040269
36160,36160,4.0,1.0,1910,Small- and Mid-Sized Office,36160.0,98101.0,DOWNTOWN,47.61041,-122.34214,47.0,2.637627736805664,14.43725726125762,106,9040.0,36160.0,Small- and Mid-Sized Office,10.49573646899098,10.49573646899098,9.109525066737367
66900,66900,5.0,1.0,1909,Small- and Mid-Sized Office,68048.0,98121.0,DOWNTOWN,47.6123,-122.34611,100.0,2.7166795278002644,14.306651248507864,107,13380.0,66900.0,Small- and Mid-Sized Office,11.110969193687714,11.12798331289449,9.50159106930499
22710,22710,2.0,1.0,1930,Other,22710.0,98121.0,DOWNTOWN,47.61341,-122.34597,67.0,1.1019400787607845,12.569897716278923,86,11355.0,22710.0,Other,10.030604667595593,10.030604667595593,9.337501517592862
45960,45960,2.0,1.0,1930,K-12 School,45960.0,98102.0,EAST,47.63239,-122.32072,56.0,5.213902615405673,15.242768043645109,86,22980.0,45960.0,K-12 School,10.735548489776468,10.735548489776468,10.042423066556905
21128,21128,2.0,1.0,1959,Small- and Mid-Sized Office,21128.0,98109.0,LAKE UNION,47.61992,-122.34539,97.0,1.396244691973059,12.98678439000198,57,10564.0,21128.0,Small- and Mid-Sized Office,9.95840178341352,9.95840178341352,9.265301930050157
38520,38520,4.0,1.0,1959,Hotel,38500.0,98109.0,LAKE UNION,47.62014,-122.34456,37.0,4.334017415487521,14.846748307795604,57,9630.0,38520.0,Hotel,10.558958826115072,10.55843949396453,9.172742341560864
29186,24930,3.0,1.0,1961,Hotel,19000.0,98109.0,LAKE UNION,47.62174,-122.34417,95.0,3.441058915087286,13.673008044903538,55,9728.666666666666,29186.0,Hotel,10.281478683643538,9.852246888342531,9.182934916285582
27338,27338,1.0,1.0,1960,Worship Facility,27338.0,98109.0,LAKE UNION,47.6201,-122.34071,56.0,1.6193882432872684,13.27300505072021,56,27338.0,27338.0,Worship Facility,10.216069533164237,10.216069533164237,10.216069533164237
45864,45864,3.0,1.0,1930,Small- and Mid-Sized Office,45864.0,98119.0,MAGNOLIA / QUEEN ANNE,47.61954,-122.35847,94.0,4.7572902340489245,14.767408945291024,86,15288.0,45864.0,Small- and Mid-Sized Office,10.733457577943756,10.733457577943756,9.634888894560614
49252,49252,2.0,1.0,1999,K-12 School,61099.0,98125.0,NORTHWEST,47.72726,-122.32835,23.0,4.6625896768555775,15.064227208287484,17,24626.0,49252.0,K-12 School,10.804725558450654,11.020267145159687,10.111598681016376
21948,21948,99.0,1.0,1977,Worship Facility,21948.0,98108.0,GREATER DUWAMISH,47.55072,-122.30265,80.0,1.184789984909162,12.694659370449031,39,221.6969696969697,21948.0,Worship Facility,9.996476859378955,9.996476859378955,5.405811967062391
22688,22688,2.0,1.0,1922,Worship Facility,22688.0,98122.0,EAST,47.60321889,-122.3205567,87.0,2.0881534822818573,12.711913867780195,94,11344.0,22688.0,Worship Facility,10.029635504524139,10.029635504524139,9.336532397213942
41262,41262,2.0,1.0,1982,Small- and Mid-Sized Office,40738.0,98118.0,GREATER DUWAMISH,47.54693,-122.28718,84.0,2.658159431488745,14.45918219891369,34,20631.0,41262.0,Small- and Mid-Sized Office,10.62772149362817,10.614941143578706,9.934598547561182
45680,45680,3.0,1.0,1908,Worship Facility,45680.0,98115.0,NORTH,47.68566,-122.31849,79.0,4.475175389371905,14.54645454176416,108,15226.666666666666,45680.0,Worship Facility,10.729437735508842,10.729437735508842,9.630869227761014
724148,724148,14.0,1.0,2006,Senior Care Community,726000.0,98109.0,LAKE UNION,47.61935,-122.33389,8.0,6.81790715495482,17.447742541214076,10,51724.857142857145,724148.0,Other,13.492752451298683,13.495306671216452,10.85371307362883
45594,45594,2.0,1.0,1914,Refrigerated Warehouse,45594.0,98108.0,GREATER DUWAMISH,47.56067,-122.32705,75.0,2.343727036325221,14.116554616385637,102,22797.0,45594.0,Other,10.727553340367766,10.727553340367766,10.034428091796723
26660,26660,1.0,1.0,1950,Other,26660.0,98108.0,GREATER DUWAMISH,47.55013,-122.33044,67.0,2.810606789427302,14.622558358459711,66,26660.0,26660.0,Other,10.190957102406585,10.190957102406585,10.190957102406585
35000,35000,1.0,1.0,1964,Warehouse,35000.0,98108.0,GREATER DUWAMISH,47.54813,-122.32553,53.0,1.2919836816486494,12.844540295132632,52,35000.0,35000.0,Warehouse,10.463131911491967,10.463131911491967,10.463131911491967
26150,26150,1.0,1.0,1962,Warehouse,26150.0,98108.0,GREATER DUWAMISH,47.54948,-122.32536,6.0,3.316002535598924,14.004814866006422,54,26150.0,26150.0,Warehouse,10.171642709679686,10.171642709679686,10.171642709679686
24000,24000,2.0,1.0,1967,Small- and Mid-Sized Office,24000.0,98108.0,GREATER DUWAMISH,47.54974,-122.3261,73.0,2.150598735996164,13.900363753588309,49,12000.0,24000.0,Small- and Mid-Sized Office,10.085850775128717,10.085850775128717,9.392745258631441
43594,43594,5.0,1.0,1968,K-12 School,40809.0,98102.0,EAST,47.64132,-122.31644,38.0,4.307572448748934,14.722981106128334,48,8718.8,43594.0,K-12 School,10.682697743861915,10.616682428399852,9.07335158086018
51298,51298,2.0,1.0,1954,Senior Care Community,51298.0,98133.0,NORTHWEST,47.72618,-122.35642,85.0,5.321692037864487,15.548153049559044,62,25649.0,51298.0,Other,10.845426537791479,10.845426537791479,10.152298850598916
31600,31600,1.0,1.0,1979,Warehouse,31600.0,98108.0,GREATER DUWAMISH,47.5213,-122.32182,3.0,4.647079589065301,15.028503508180206,37,31600.0,31600.0,Warehouse,10.360944044643913,10.360944044643913,10.360944044643913
35289,35289,1.0,1.0,2007,Warehouse,35289.0,98108.0,GREATER DUWAMISH,47.52024,-122.32137,63.0,3.214867803470662,13.6836075530822,9,35289.0,35289.0,Warehouse,10.471354916669316,10.471354916669316,10.471354916669316
28920,28920,1.0,1.0,1981,Warehouse,30000.0,98108.0,GREATER DUWAMISH,47.51899,-122.321,50.0,4.395559648956466,14.375366317104303,35,28920.0,28920.0,Warehouse,10.272323253821503,10.308985993422082,10.272323253821503
22176,22176,1.0,1.0,1978,Warehouse,22176.0,98108.0,GREATER DUWAMISH,47.5193,-122.3213,60.0,3.5195728343974766,13.509568957026715,38,22176.0,22176.0,Warehouse,10.00681099476803,10.00681099476803,10.00681099476803
26930,20580,2.0,1.0,1980,Medical Office,26930.0,98115.0,NORTH,47.70007,-122.32533,64.0,2.0781907597781832,13.818502078900227,36,13465.0,26930.0,Medical Office,10.201033318424798,10.201033318424798,9.507923269105227
20296,20296,2.0,1.0,1959,Self-Storage Facility,20296.0,98105.0,NORTHEAST,47.66353,-122.29505,67.0,1.9416152247724323,13.659635538150296,57,10148.0,20296.0,Self-Storage Facility,9.918228370857626,9.918228370857626,9.225130457448818
33576,33576,2.0,1.0,1980,Warehouse,33576.0,98105.0,NORTHEAST,47.66294,-122.29521,64.0,3.926517451578599,14.058639268934227,36,16788.0,33576.0,Warehouse,10.421596587748377,10.421596587748377,9.728479189036397
21765,21765,2.0,1.0,1910,Worship Facility,21765.0,98107.0,BALLARD,47.67477,-122.38241,80.0,2.911263116927541,12.974771092247352,106,10882.5,21765.0,Worship Facility,9.988104398256008,9.988104398256008,9.295003159854891
26560,26560,2.0,1.0,1901,Worship Facility,26560.0,98122.0,CENTRAL,47.6101,-122.30838,1.0,4.18783490530944,14.375974486127069,115,13280.0,26560.0,Worship Facility,10.187199253484014,10.187199253484014,9.49408972140025
20140,20140,2.0,1.0,1957,Warehouse,20140.0,98103.0,LAKE UNION,47.65022,-122.34174,49.0,0.5933268452777344,11.665540122290118,59,10070.0,20140.0,Warehouse,9.910512817472881,9.910512817472881,9.217415285648144
25500,25500,1.0,1.0,1967,Small- and Mid-Sized Office,25500.0,98108.0,GREATER DUWAMISH,47.55045,-122.32749,98.0,4.030694535145645,14.009324778706302,49,25500.0,25500.0,Small- and Mid-Sized Office,10.146472946063877,10.146472946063877,10.146472946063877
56193,56193,2.0,1.0,1958,Retail Store,56193.0,98108.0,GREATER DUWAMISH,47.54912,-122.32184,67.0,3.8691155044168695,14.730978451399714,58,28096.5,56193.0,Retail Store,10.936565268616524,10.936565268616524,10.243435883392422
35448,35448,3.0,1.0,1922,K-12 School,35448.0,98107.0,BALLARD,47.6712,-122.37568,97.0,4.116432158686106,14.137545867566493,94,11816.0,35448.0,K-12 School,10.475850322817688,10.475850322817688,9.377294451639015
29214,29214,1.0,1.0,1966,Supermarket / Grocery Store,29214.0,98107.0,BALLARD,47.66986,-122.37418,8.0,5.344866927201017,16.049414159558985,50,29214.0,29214.0,Supermarket / Grocery Store,10.282437554988537,10.282437554988537,10.282437554988537
