PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
77555,77555,3.0,1.0,1924,Retail Store,73563.0,98101.0,DOWNTOWN,47.60925,-122.33734,39.0,4.014579593753238,15.869917136270896,92,25851.666666666668,77555.0,Retail Store,11.258755535050895,11.205911054618872,10.16016903386812
52298,52298,3.0,1.0,1921,Small- and Mid-Sized Office,50250.0,98104.0,DOWNTOWN,47.60366,-122.33328,89.0,2.6892071133007303,14.49286169787955,95,17432.666666666668,52298.0,Small- and Mid-Sized Office,10.864732529411326,10.824785726220822,9.766158481661002
224857,224857,9.0,1.0,1971,Large Office,204993.0,98104.0,DOWNTOWN,47.6029,-122.32927,79.0,5.970419648512232,16.541563859688605,45,24984.11111111111,224857.0,Large Office,12.323224370840999,12.230735989399538,10.126035370881128
58492,58492,2.0,1.0,1939,Other,58500.0,98104.0,GREATER DUWAMISH,47.59273,-122.33455,67.0,3.961955374176355,14.282022786858906,77,29246.0,58492.0,Other,10.976662367940685,10.97679912709094,10.283532283297381
141686,141686,1.0,1.0,1970,Other,152511.0,98108.0,GREATER DUWAMISH,47.56301,-122.32564,67.0,3.8611506750543896,15.713600921880095,46,141686.0,141686.0,Other,11.861375678350848,11.934998560458414,11.861375678350848
115620,115620,1.0,1.0,1966,Warehouse,56900.0,98108.0,GREATER DUWAMISH,47.54923,-122.32446,11.0,2.681706225762608,14.484291913158089,50,115620.0,115620.0,Warehouse,11.658072879621725,10.949068194652432,11.658072879621725
71718,71718,1.0,1.0,1969,Distribution Center,71718.0,98108.0,GREATER DUWAMISH,47.54326,-122.33134,100.0,0.7227059828014898,11.930024613749138,47,71718.0,71718.0,Distribution Center,11.18051098450976,11.18051098450976,11.18051098450976
54880,54880,1.0,1.0,1979,Distribution Center,55000.0,98108.0,GREATER DUWAMISH,47.52549,-122.33064,32.0,4.505681287487349,14.832044011902784,37,54880.0,54880.0,Distribution Center,10.9129224838081,10.915106645867503,10.9129224838081
50785,50785,1.0,1.0,1963,Supermarket / Grocery Store,27382.0,98144.0,GREATER DUWAMISH,47.57903,-122.29982,57.0,5.280306133746185,15.822248333439278,53,50785.0,50785.0,Supermarket / Grocery Store,10.835376005033337,10.21767766186868,10.835376005033337
85126,85126,3.0,1.0,1929,Small- and Mid-Sized Office,81526.0,98106.0,Delridge,47.54103,-122.33766,1.0,5.1187719527008335,17.451825093730037,87,28375.333333333332,85126.0,Small- and Mid-Sized Office,11.351899538036314,11.308689532708646,10.25331074340072
95760,79920,6.0,1.0,1900,Small- and Mid-Sized Office,95760.0,98104.0,DOWNTOWN,47.5992,-122.33223,83.0,4.323470185213858,15.500541631969233,116,15960.0,95760.0,Small- and Mid-Sized Office,11.46961078295093,11.46961078295093,9.677903525682558
179413,179413,1.0,1.0,1946,Warehouse,178087.0,98134.0,GREATER DUWAMISH,47.56733,-122.3352,57.0,3.223664341599998,15.056647346441077,70,179413.0,179413.0,Warehouse,12.097451263466159,12.090033089130165,12.097451263466159
275130,162150,5.0,1.0,2003,Medical Office,177748.0,98122.0,EAST,47.6056366,-122.3214798,70.0,4.252771798816619,16.112209260103217,13,55026.0,275130.0,Medical Office,12.525002626859935,12.088127721770618,10.915579252849069
62600,62600,4.0,3.0,1928,Other,215197.0,98121.0,MAGNOLIA / QUEEN ANNE,47.61915,-122.35871,67.0,6.008911460711703,16.226711731509283,88,15650.0,20866.666666666668,Other,11.044536531401494,12.279313813546283,9.658290091690503
90266,90266,5.0,1.0,1987,Other,87552.0,98115.0,NORTH,47.6993,-122.32378,18.0,4.01060056878914,15.866029661754814,29,18053.2,90266.0,Other,11.410527224107515,11.379999603260565,9.80113362367422
87332,80874,4.0,1.0,2004,Warehouse,87332.0,98107.0,Ballard,47.6582,-122.36434,87.0,2.740194654428777,13.96874642662222,12,21833.0,87332.0,Warehouse,11.377483677273947,11.377483677273947,9.991223666840215
132828,132828,4.0,1.0,1988,Warehouse,132828.0,98122.0,EAST,47.61818,-122.31728,83.0,2.1471001901536506,13.895919929177747,28,33207.0,132828.0,Warehouse,11.796817865678426,11.796817865678426,10.410546089732875
101830,101830,1.0,1.0,1995,Retail Store,130767.0,98133.0,NORTHWEST,47.71417,-122.34256,60.0,5.6907647775748975,16.186969168656223,21,101830.0,101830.0,Retail Store,11.531069855406209,11.781180039755911,11.531069855406209
114000,114000,4.0,2.0,1974,University,114000.0,98144.0,CENTRAL,47.5997,-122.30364,67.0,4.706914169871375,15.840374602371844,42,28500.0,57000.0,University,11.643962499267984,11.643962499267984,10.25769445336048
74178,74178,1.0,1.0,1958,Retail Store,74178.0,98108.0,GREATER DUWAMISH,47.54862,-122.32272,67.0,4.911330479685645,15.502313503992632,58,74178.0,74178.0,Retail Store,11.21423637023015,11.21423637023015,11.21423637023015
80360,80360,4.0,1.0,1987,Warehouse,80360.0,98125.0,NORTH,47.70799,-122.30185,96.0,2.848970892158587,13.438662334117597,29,20090.0,80360.0,Warehouse,11.294284262853436,11.294284262853436,9.90802723257816
119190,119190,3.0,1.0,1996,Supermarket / Grocery Store,46280.0,98122.0,EAST,47.61318,-122.32122,71.0,5.5909869805108565,16.12581904858978,20,39730.0,119190.0,Supermarket / Grocery Store,11.68848252740716,10.742486788680049,10.589887018388692
113944,65434,3.0,1.0,1960,Large Office,65434.0,98105.0,NORTHEAST,47.66181,-122.31231,1.0,4.865455367582921,16.699203674412267,56,37981.333333333336,113944.0,Large Office,11.643471154816872,11.088812562489581,10.5448764183226
93079,56986,3.0,1.0,2000,Low-Rise Multifamily,91064.0,98103.0,LAKE UNION,47.64859,-122.33311,32.0,3.2809112157876537,14.507247995303029,16,31026.333333333332,93079.0,Other,11.441214617416229,11.419328816232644,10.342623815410274
22220,22220,2.0,1.0,1957,Worship Facility,22220.0,98115.0,NORTHEAST,47.67738,-122.28996,90.0,3.4885975719429885,13.564940325914932,59,11110.0,22220.0,Worship Facility,10.008793066681399,10.008793066681399,9.315690887584008
44100,44100,1.0,1.0,1976,Warehouse,40000.0,98108.0,GREATER DUWAMISH,47.54137,-122.33051,1.0,2.5087859235779435,14.297268196768211,40,44100.0,44100.0,Warehouse,10.694237736914808,10.596659732783579,10.694237736914808
27800,27800,1.0,1.0,1965,Distribution Center,27800.0,98108.0,GREATER DUWAMISH,47.54113,-122.32633,13.0,3.234355395716587,14.017787712379995,51,27800.0,27800.0,Distribution Center,10.2328272702548,10.2328272702548,10.2328272702548
46340,46340,1.0,1.0,2001,Warehouse,46340.0,98134.0,GREATER DUWAMISH,47.55436,-122.33631,3.0,2.9375733593804587,14.7570810470988,15,46340.0,46340.0,Warehouse,10.743782377382361,10.743782377382361,10.743782377382361
38460,38460,3.0,1.0,1910,Small- and Mid-Sized Office,38460.0,98122.0,CENTRAL,47.60191,-122.31438,69.0,3.611458307145352,14.483706145526318,106,12820.0,38460.0,Small- and Mid-Sized Office,10.557400019844792,10.557400019844792,9.4588397305527
21022,21022,2.0,1.0,1922,Worship Facility,21022.0,98103.0,NORTHWEST,47.68576,-122.35481,54.0,3.80310059820396,13.759201151262806,94,10511.0,21022.0,Worship Facility,9.953372355465126,9.953372355465126,9.260272740724393
48001,48001,1.0,1.0,1967,Distribution Center,48001.0,98118.0,GREATER DUWAMISH,47.51127,-122.281,49.0,4.471181545984774,14.57802135794233,49,48001.0,48001.0,Distribution Center,10.778997955688663,10.778997955688663,10.778997955688663
30375,30375,1.0,1.0,1981,Warehouse,30375.0,98118.0,GREATER DUWAMISH,47.51127,-122.281,73.0,1.2267122912954254,12.75381157483465,35,30375.0,30375.0,Warehouse,10.321408101911638,10.321408101911638,10.321408101911638
33589,33589,2.0,1.0,1914,Worship Facility,33589.0,98117.0,BALLARD,47.68164,-122.3753,90.0,3.132446096869813,13.141846713536433,102,16794.5,33589.0,Worship Facility,10.421983682606339,10.421983682606339,9.72886627236836
43500,43500,3.0,1.0,1979,Small- and Mid-Sized Office,43495.0,98107.0,BALLARD,47.66587,-122.38476,46.0,3.1633631149379418,14.985089491169337,37,14500.0,43500.0,Small- and Mid-Sized Office,10.680539205318292,10.680424258825756,9.581972891547895
