PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu
144050,144050,7.0,1.0,1926,Warehouse,144050.0,98134.0,GREATER DUWAMISH,47.58365,-122.33467,26.0,4.599453878991982,15.183990174638973
60592,60592,3.0,1.0,1930,Small- and Mid-Sized Office,60384.0,98104.0,GREATER DUWAMISH,47.58252,-122.33465,16.0,3.876395827784995,15.434789389325681
107930,107930,1.0,1.0,1993,Retail Store,107704.0,98134.0,GREATER DUWAMISH,47.57842,-122.33558,57.0,4.619270310366873,15.79257096067688
99084,99084,1.0,1.0,1926,Warehouse,99084.0,98134.0,GREATER DUWAMISH,47.57096,-122.3355,83.0,3.917010546939185,14.296770209213014
72719,72719,1.0,1.0,1953,Distribution Center,72719.0,98106.0,Delridge,47.56676,-122.35247,28.0,3.778263015248622,14.763975213356957
76624,76624,4.0,1.0,1930,Small- and Mid-Sized Office,76624.0,98134.0,EAST,47.59534849,-122.327269,91.0,3.538347219809389,14.835674159499462
56572,56572,1.0,1.0,1973,Retail Store,56576.0,98108.0,GREATER DUWAMISH,47.56664,-122.32346,66.0,4.223763342972998,14.694900762970045
225982,225982,2.0,1.0,2004,Medical Office,200184.0,98104.0,EAST,47.60979,-122.32298,53.0,6.541203144372571,16.838888299648577
422503,215923,10.0,1.0,1985,Medical Office,197408.0,98104.0,EAST,47.61002,-122.32222,46.0,5.252796851246227,16.663601561107395
94500,94500,7.0,1.0,1987,Medical Office,113739.0,98122.0,CENTRAL,47.60649,-122.31121,68.0,3.722797672317397,15.572148248583861
94713,94713,1.0,1.0,2005,Retail Store,109758.0,98106.0,DELRIDGE,47.53655,-122.36377,79.0,4.561636183964363,15.505163286337357
72000,72000,4.0,1.0,1925,Small- and Mid-Sized Office,72000.0,98134.0,GREATER DUWAMISH,47.59554,-122.32471,89.0,3.1978564576441255,14.819507633616022
81336,81336,2.0,3.0,1994,Other,81385.0,98109.0,MAGNOLIA / QUEEN ANNE,47.62476,-122.35521,67.0,5.602745930478429,16.386999867855952
98668,98668,5.0,1.0,1982,Small- and Mid-Sized Office,98668.0,98119.0,MAGNOLIA / QUEEN ANNE,47.62497,-122.35965,91.0,3.4534735262275262,15.29514702714152
50660,50660,1.0,1.0,1978,Retail Store,50660.0,98121.0,MAGNOLIA / QUEEN ANNE,47.63284,-122.37712,51.0,4.122283930911342,14.794396298578706
61929,61929,2.0,1.0,1937,Small- and Mid-Sized Office,39879.0,98119.0,MAGNOLIA / QUEEN ANNE,47.63156,-122.37551,59.0,4.038303171338476,14.605343108684327
154330,154330,5.0,1.0,1912,Warehouse,95330.0,98101.0,DOWNTOWN,47.60703,-122.34038,81.0,2.2823823856765264,14.048395507415643
86204,86204,6.0,1.0,1910,Retail Store,67670.0,98104.0,DOWNTOWN,47.60223,-122.33602,89.0,4.2487809155265195,14.99167568792889
98220,98220,3.0,1.0,1951,Warehouse,129420.0,98121.0,GREATER DUWAMISH,47.58042,-122.32552,12.0,4.334541868102138,15.682391568844233
61200,61200,2.0,1.0,1931,Warehouse,61200.0,98134.0,GREATER DUWAMISH,47.58241,-122.32866,16.0,5.1908435082428035,15.407221064340323
111908,111908,1.0,1.0,1987,Distribution Center,109090.0,98134.0,GREATER DUWAMISH,47.58772,-122.32686,87.0,3.559340082758951,14.257256967230148
92092,71037,4.0,1.0,2001,Small- and Mid-Sized Office,70074.0,98107.0,BALLARD,47.6633,-122.37549,5.0,3.5432754802551445,15.387674964206509
77174,51374,2.0,1.0,2000,Small- and Mid-Sized Office,77174.0,98103.0,LAKE UNION,47.64932,-122.35187,33.0,3.6689318163042404,15.516898465645935
115748,97366,4.0,1.0,1999,Laboratory,97365.0,98102.0,LAKE UNION,47.63079,-122.32693,67.0,7.052539371830329,17.4110785310441
274362,274362,7.0,1.0,1953,Large Office,274362.0,98101.0,DOWNTOWN,47.61628,-122.33391,82.0,5.002737521969115,16.621325560185117
78920,78920,4.0,1.0,1929,Retail Store,78920.0,98101.0,DOWNTOWN,47.61203,-122.33486,80.0,4.70817793606232,15.932207842642024
83118,83118,3.0,1.0,1940,Retail Store,45000.0,98101.0,DOWNTOWN,47.60956,-122.33715,59.0,3.361069590571376,14.70879567846098
77555,77555,3.0,1.0,1924,Retail Store,73563.0,98101.0,DOWNTOWN,47.60925,-122.33734,39.0,4.014579593753238,15.869917136270896
52298,52298,3.0,1.0,1921,Small- and Mid-Sized Office,50250.0,98104.0,DOWNTOWN,47.60366,-122.33328,89.0,2.6892071133007303,14.49286169787955
